20190207000002, 1013.33, 18.46, 42.96,  66.8
20190207001002, 1013.54, 17.15, 44.07,  66.0
20190207002002, 1013.45, 16.31, 44.56,  65.7
20190207003002, 1013.30, 16.10, 45.45,  65.2
20190207004002, 1013.34, 15.79, 46.61,  64.8
20190207005002, 1013.41, 15.41, 46.69,  64.8
20190207010002, 1013.32, 14.94, 47.01,  64.2
20190207011002, 1013.34, 14.56, 47.40,  63.8
20190207012002, 1013.24, 14.18, 47.72,  63.5
20190207013002, 1013.32, 13.77, 48.13,  63.0
20190207014002, 1013.67, 13.34, 48.70,  62.9
20190207015002, 1013.54, 13.03, 49.01,  62.4
20190207020002, 1013.79, 12.68, 49.32,  62.0
20190207021002, 1013.63, 12.38, 49.81,  61.7
20190207022002, 1013.72, 12.06, 50.31,  61.2
20190207023002, 1014.00, 11.83, 50.59,  61.2
20190207024002, 1014.05, 11.58, 50.87,  60.9
20190207025002, 1014.07, 11.34, 51.17,  60.4
20190207030002, 1014.21, 11.12, 51.46,  60.0
20190207031002, 1014.11, 10.91, 51.72,  60.0
20190207032002, 1013.92, 10.65, 52.16,  59.5
20190207033002, 1013.98, 10.45, 52.50,  59.4
20190207034002, 1013.90, 10.33, 52.62,  59.0
20190207035002, 1013.62, 10.13, 52.87,  58.9
20190207040002, 1013.62,  9.97, 53.22,  58.5
20190207041002, 1013.66,  9.83, 53.40,  58.4
20190207042002, 1013.65,  9.65, 53.67,  57.7
20190207043002, 1013.82,  9.58, 53.63,  57.7
20190207044002, 1013.64,  9.41, 53.96,  57.5
20190207045002, 1013.63,  9.30, 54.18,  57.4
20190207050002, 1013.37,  9.17, 54.40,  57.0
20190207051002, 1013.40,  9.08, 54.53,  56.9
20190207052001, 1013.29,  8.97, 54.73,  56.6
20190207053002, 1013.41,  8.89, 54.93,  56.2
20190207054002, 1013.39,  8.78, 55.01,  56.4
20190207055002, 1013.48,  8.71, 55.11,  55.9
20190207060002, 1013.31,  8.61, 55.15,  55.7
20190207061002, 1013.35,  8.57, 55.14,  55.6
20190207062002, 1013.33,  8.47, 55.16,  55.4
20190207063002, 1013.44,  8.40, 55.24,  55.4
20190207064002, 1013.52,  8.34, 55.25,  55.2
20190207065002, 1013.66,  8.33, 55.18,  55.2
20190207070002, 1013.61,  8.30, 55.23,  55.1
20190207071002, 1013.57,  8.40, 55.34,  55.1
20190207072002, 1013.53,  8.62, 55.41,  54.9
20190207073002, 1013.67,  9.37, 57.05,  54.6
20190207074002, 1013.62,  9.77, 56.44,  54.6
20190207075002, 1013.52, 10.15, 55.75,  54.4
20190207080002, 1013.43, 10.42, 55.04,  54.7
