20190125171002, 1013.88,  7.20, 45.37,   9.0
20190125172002, 1014.05,  7.16, 45.45,   9.0
20190125173002, 1014.06,  7.07, 45.57,   8.3
20190125174002, 1014.24,  7.03, 45.68,   9.0
20190125175002, 1014.37,  6.98, 45.84,   8.5
20190125180001, 1014.28,  6.90, 45.95,   9.1
20190125181002, 1014.48,  6.86, 46.03,   8.5
20190125182001, 1014.48,  6.80, 46.16,   8.5
20190125183002, 1014.49,  6.71, 46.24,   8.0
20190125184001, 1014.39,  6.66, 46.32,   8.5
20190125185002, 1014.14,  6.63, 46.35,   7.8
20190125190001, 1014.04,  7.58, 54.82,   8.0
20190125191002, 1013.96, 10.47, 62.88,   8.5
20190125192001, 1013.89, 12.93, 61.50,  10.0
20190125193002, 1013.80, 15.54, 60.40,  10.8
20190125194002, 1013.67, 17.94, 56.18,  11.9
20190125195002, 1013.47, 19.43, 53.08,  13.1
20190125200002, 1013.22, 20.33, 49.54,  13.3
20190125201002, 1013.28, 20.71, 47.68,  14.4
20190125202002, 1013.10, 20.78, 47.39,  14.3
20190125203002, 1013.11, 20.75, 47.53,  32.3
20190125204002, 1012.95, 20.61, 46.85,  41.0
20190125205001, 1012.85, 20.36, 45.76,  43.3
20190125210002, 1012.64, 20.18, 47.32,  41.5
20190125211002, 1012.56, 19.99, 44.41,  42.3
20190125212002, 1012.48, 19.80, 48.81,  42.1
20190125213001, 1012.32, 19.71, 44.93,  43.0
20190125214002, 1012.15, 19.62, 46.62,  42.3
20190125215002, 1011.85, 19.52, 46.55,  41.3
20190125220002, 1011.77, 19.43, 45.61,  41.6
20190125221002, 1011.79, 19.38, 46.87,  41.0
20190125222002, 1011.62, 19.29, 45.78,  41.0
20190125223002, 1011.44, 19.27, 44.12,  41.8
20190125224002, 1011.36, 19.25, 45.70,  41.3
20190125225002, 1011.24, 19.24, 45.34,  40.0
20190125230002, 1011.04, 19.20, 46.10,  39.8
20190125231002, 1010.94, 19.22, 46.71,  40.3
20190125232002, 1010.81, 19.18, 45.04,  40.3
20190125233002, 1010.70, 19.14, 44.77,  39.3
20190125234002, 1010.57, 19.14, 45.54,  40.3
20190125235002, 1010.40, 19.19, 46.09,  40.0
